,job_title_position,years_of_experience,company_type,job_type,company_size,company_name,used_technology,monthly_salary_usd,monthly_salary_egp,react,react native,typescript,redux,wordpress,js,angular,node,vue,nextjs,jquery,bootstrap
0,Junior,1 to 2 years,Startup company,Remote,,Vultara ,Angular ,250,7737,0,0,0,0,0,0,1,0,0,0,0,0
1,Senior,5 to 7 years,Corporate company,Hybrid,51-200 employees,,front end react,1696,52491,1,0,0,0,0,0,0,0,0,0,0,0
2,Junior,1 to 2 years,Startup company,Remote,1-50 employees,Technomedic ,React,420,12999,1,0,0,0,0,0,0,0,0,0,0,0
3,Junior,1 to 2 years,Corporate company,Onsite,1-50 employees,,React,224,6932,1,0,0,0,0,0,0,0,0,0,0,0
4,Mid Sernior,2 to 3 years,Corporate company,Hybrid,201+ employees,Dsquares,React,864,26740,1,0,0,0,0,0,0,0,0,0,0,0
5,Senior,+7 years,Corporate company,Hybrid,201+ employees,_vois,Angular,1216,37635,0,0,0,0,0,0,1,0,0,0,0,0
6,Senior,5 to 7 years,Startup company,Remote,51-200 employees,,React Native,2600,80470,1,1,0,0,0,0,0,0,0,0,0,0
7,Junior,0-1 year,Corporate company,Onsite,1-50 employees,,Angular ,224,6932,0,0,0,0,0,0,1,0,0,0,0,0
8,Junior,1 to 2 years,Startup company,Remote,1-50 employees,,Vue,530,16403,0,0,0,0,0,0,0,0,1,0,0,0
9,Senior,3 to 5 years,Corporate company,Remote,1-50 employees,,Next,500,15475,0,0,0,0,0,0,0,0,0,0,0,0
10,Junior,1 to 2 years,Startup company,Remote,1-50 employees,,Angular,320,9904,0,0,0,0,0,0,1,0,0,0,0,0
11,Junior,1 to 2 years,Startup company,Onsite,1-50 employees,,React,600,18570,1,0,0,0,0,0,0,0,0,0,0,0
12,Junior,2 to 3 years,Startup company,Remote,51-200 employees,Squadio,Frontend (Angular),1200,37140,0,0,0,0,0,0,1,0,0,0,0,0
13,Mid Sernior,1 to 2 years,Startup company,Hybrid,1-50 employees,jsftek,wordpress,240,7428,0,0,0,0,1,0,0,0,0,0,0,0
14,Mid Sernior,2 to 3 years,Startup company,Remote,201+ employees,bosta,React,512,15846,1,0,0,0,0,0,0,0,0,0,0,0
15,Junior,0-1 year,Tech company ,Remote,1-50 employees,,Wordpress and a little angular,240,7428,0,0,0,0,1,0,1,0,0,0,0,0
16,Mid Sernior,2 to 3 years,Startup company,Remote,51-200 employees,,,1000,30950,0,0,0,0,0,0,0,0,0,0,0,0
17,Mid Sernior,3 to 5 years,Startup company,Remote,1-50 employees,SpimeSenseLabs ,React,640,19808,1,0,0,0,0,0,0,0,0,0,0,0
18,Mid Sernior,5 to 7 years,Corporate company,Remote,201+ employees,Netways,Angular and ionic,1000,30950,0,0,0,0,0,0,1,0,0,0,0,0
19,Senior,3 to 5 years,Startup company,Remote,1-50 employees,,"React, Typescript ",1200,37140,1,0,1,0,0,0,0,0,0,0,0,0
20,Junior,1 to 2 years,Corporate company,Onsite,51-200 employees,Damen,React,378,11725,1,0,0,0,0,0,0,0,0,0,0,0
21,Mid Sernior,3 to 5 years,Corporate company,Onsite,1-50 employees,,Angular & React,240,7428,1,0,0,0,0,0,1,0,0,0,0,0
22,Junior,0-1 year,Freelancer,Remote,1-50 employees,Freelancing,React,192,5942,1,0,0,0,0,0,0,0,0,0,0,0
23,Mid Sernior,1 to 2 years,Corporate company,Remote,51-200 employees,,Vue,550,17022,0,0,0,0,0,0,0,0,1,0,0,0
24,Senior,3 to 5 years,Out Source company,Hybrid,1-50 employees,Worex Technology,React,352,10894,1,0,0,0,0,0,0,0,0,0,0,0
25,Senior,3 to 5 years,Corporate company,Hybrid,201+ employees,,React,1056,32683,1,0,0,0,0,0,0,0,0,0,0,0
26,Senior,3 to 5 years,Corporate company,Onsite,51-200 employees,Thi ... ,React . angular ,6210,192199,1,0,0,0,0,0,1,0,0,0,0,0
27,Mid Sernior,1 to 2 years,Startup company,Remote,1-50 employees,,React ,320,9904,1,0,0,0,0,0,0,0,0,0,0,0
28,Senior,5 to 7 years,Corporate company,Hybrid,201+ employees,VOIS,React,960,29712,1,0,0,0,0,0,0,0,0,0,0,0
29,Mid Sernior,2 to 3 years,Corporate company,Hybrid,201+ employees,,"React, Vue",576,17827,1,0,0,0,0,0,0,0,1,0,0,0
30,Mid Sernior,3 to 5 years,Startup company,Remote,51-200 employees,,React,2000,61900,1,0,0,0,0,0,0,0,0,0,0,0
31,Mid Sernior,2 to 3 years,Out Source company,Hybrid,201+ employees,VOIS,React ,576,17827,1,0,0,0,0,0,0,0,0,0,0,0
32,Junior,1 to 2 years,Corporate company,Hybrid,1-50 employees,Business sense corp,Angular,192,5942,0,0,0,0,0,0,1,0,0,0,0,0
34,Mid Sernior,2 to 3 years,Startup company,Hybrid,51-200 employees,Stella Stays,React,1300,40235,1,0,0,0,0,0,0,0,0,0,0,0
